Description,Price,Rating,,ReviewCount,Url,
"X Rocker Limewire 2.1 BT Floor Rocker Gaming Chair, 36.2"" x 20.8"" x 31.5"", Black/Green",$179.99 ,4.6 out of 5 stars,4.6,273,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04592851UL8KLNY3KE1B&url=%2FRocker-Limewire-Floor-Black-5110401%2Fdp%2FB0899P2M9K%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128992%26sr%3D8-57-spons%26psc%3D1&qualifier=1650128992&id=4343724233162461&widgetName=sp_btf, 
"X Rocker 24K 2.1 BT Floor Rocker Gaming Chair, 36.2"" x 20.8"" x 31.5"", Black/Gold",$156.16 ,4.6 out of 5 stars,4.6,210,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04685453HJJZW5FZNLJ8&url=%2FRocker-Floor-24-5-Black-5110501%2Fdp%2FB08996JF6T%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128992%26sr%3D8-58-spons%26psc%3D1&qualifier=1650128992&id=4343724233162461&widgetName=sp_btf, 
"OFM Core Collection Big and Tall Guest and Reception Chair with Arms, Vinyl, Black",$280.27 ,4.4 out of 5 stars,4.4,51,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A005321024DQVXQBS3Y22&url=%2FOFM-Tall-Reception-Chair-Arms%2Fdp%2FB004GYH8R4%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128992%26sr%3D8-59-spons%26psc%3D1&qualifier=1650128992&id=4343724233162461&widgetName=sp_btf, 
"OFM ESS Collection Racing Style Bonded Leather Gaming Chair, in Gray (ESS-3085-GRY)",$185.82 ,4.5 out of 5 stars,4.5,"24,429",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05785422JK2GOPELBTFK&url=%2FEssentials-Racing-Style-Leather-Gaming%2Fdp%2FB01MCVDFDG%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128992%26sr%3D8-60-spons%26psc%3D1&qualifier=1650128992&id=4343724233162461&widgetName=sp_btf, 
"Amazon Basics Kids/Youth Gaming Recliner with Headrest and Back Pillow, 3+ Age Group, Black and Red",$188.12 ,4.6 out of 5 stars,4.6,"1,836",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A047620820RK7GCB0DFR3&url=%2FAmazonBasics-Gaming-Recliner-Headrest-Pillow%2Fdp%2FB07TJWWPJS%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128995%26sr%3D8-1-spons%26psc%3D1&qualifier=1650128995&id=4345778659807154&widgetName=sp_atf, 
"Razer Enki X Essential Gaming Chair: All-Day Gaming Comfort - Built-in Lumbar Arch - Optimized Cushion Density - Dual-Textured, Eco-Friendly Synthetic Leather - Adjustable 152-degree Recline",$279.99 ,4.6 out of 5 stars,4.6,185,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01360722BCJNHSQE7TS7&url=%2FRazer-Essential-Gaming-Chair-Built%2Fdp%2FB09CLMBFQZ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128995%26sr%3D8-2-spons%26psc%3D1&qualifier=1650128995&id=4345778659807154&widgetName=sp_atf, 
"AFO Tall Office Chair with 3D Armrests, Lumbar Support and Headrest, Adjustable Height, Breathable Mesh, for Executive, Gaming, Red",$189.99 ,5.0 out of 5 stars,5.0,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00369023E6UXH4KBVM3G&url=%2FAFO-Armrests-Adjustable-Breathable-Executive%2Fdp%2FB09Y191YLX%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128995%26sr%3D8-3-spons%26psc%3D1&qualifier=1650128995&id=4345778659807154&widgetName=sp_atf, 
"RESPAWN 110 Racing Style Gaming Chair, Reclining Ergonomic Chair with Footrest, in White (RSP-110-WHT)-Generation 1.0",$199.99 ,4.3 out of 5 stars,4.3,"7,645",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05777062JTOLLMR2TCO7&url=%2FRESPAWN-110-Racing-Style-Gaming-Chair%2Fdp%2FB07DG559GL%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128995%26sr%3D8-4-spons%26psc%3D1&qualifier=1650128995&id=4345778659807154&widgetName=sp_atf, 
"YSSOA Backrest and Seat Height Adjustable Swivel Recliner Racing Office Computer Ergonomic Video Game Chair, Black/Red",$99.99 ,4.0 out of 5 stars,4.0,839,https://www.amazon.com/YSSOA-Gaming-Office-Adjustable-Chair/dp/B08XQNSH7B/ref=sr_1_5?keywords=gaming+chairs&qid=1650128995&sr=8-5, 
"RESPAWN 110 Chair, Green",$170.50 ,4.3 out of 5 stars,4.3,"25,508",https://www.amazon.com/RESPAWN-110-Racing-Style-Gaming-Chair/dp/B076HTJRMZ/ref=sr_1_6?keywords=gaming+chairs&qid=1650128995&sr=8-6, 
